Eng.Displ,Cyl,Transm,MPG
3.7,6,Autom,21.5513
3.7,6,Autom,19.5386
3.7,6,Autom,23.485
3.7,6,Autom,22.1233
3.7,6,Autom,23.485
3.7,6,Autom,22.1233
3.7,6,Autom,21.1593
3.8,6,Autom,21.9023
4.6,8,Autom,24.1152
5.4,8,Autom,17.4493
4.6,8,Autom,18.7591
5.4,8,Autom,16.8291
4.6,8,Autom,17.847
4.6,8,Autom,18.7591
5.4,8,Autom,17.2841
5.4,8,Autom,16.8291
5.4,8,Autom,16.3197
2.0,4,Autom,37.553
4.6,8,Autom,24.1152
4.6,8,Autom,24.1152
1.6,4,Autom,37.467
1.6,4,Autom,37.467
1.6,4,Autom,37.467
4.3,6,Autom,21.8566
5.3,8,Autom,20.1166
4.3,6,Autom,21.8519
5.3,8,Autom,20.1705
2.9,4,Autom,27.0753
3.7,5,Autom,24.8662
5.3,8,Autom,21.1821
2.9,4,Autom,25.4878
3.7,5,Autom,24.5356
5.3,8,Autom,20.3745
3.7,5,Autom,22.1274
3.7,5,Autom,23.1686
2.9,4,Autom,27.0789
3.7,5,Autom,24.5804
5.3,8,Autom,21.1821
3.7,5,Autom,23.1686
5.3,8,Autom,20.3745
2.9,4,Autom,27.0743
3.7,5,Autom,24.8856
5.3,8,Autom,21.1821
2.9,4,Autom,25.4878
3.7,5,Autom,24.5224
5.3,8,Autom,20.3745
3.7,5,Autom,22.1274
3.7,5,Autom,23.1686
2.9,4,Autom,27.0789
3.7,5,Autom,24.5804
5.3,8,Autom,21.1821
3.7,5,Autom,23.1686
5.3,8,Autom,20.3745
4.6,8,Autom,23.1788
4.6,8,Autom,17.6299
4.3,6,Autom,21.6951
5.3,8,Autom,18.9825
5.3,8,Autom,18.3252
5.3,8,Autom,18.3252
4.3,6,Autom,21.6951
5.3,8,Autom,18.9825
5.3,8,Autom,18.3252
5.3,8,Autom,18.3252
5.3,8,Autom,18.3477
5.3,8,Autom,18.3618
5.3,8,Autom,18.3618
5.3,8,Autom,18.3477
5.3,8,Autom,18.3618
5.3,8,Autom,18.3618
2.4,4,Autom,32.4219
2.2,4,Autom,32.457
2.4,4,Autom,32.4219
2.2,4,Autom,32.457
3.9,6,Autom,26.7308
3.5,6,Autom,29.635
4.3,6,Autom,19.9165
5.3,8,Autom,19.0891
4.3,6,Autom,19.9165
5.3,8,Autom,19.067
4.6,8,Autom,18.1552
3.9,6,Autom,26.7308
4.6,8,Autom,23.1788
1.6,4,Autom,40.2081
2.0,4,Autom,34.5327
1.6,4,Autom,40.3763
2.4,4,Autom,29.0727
1.6,4,Autom,36.952
2.0,4,Autom,35.008
1.5,4,Autom,39.2434
1.8,4,Autom,35.8688
1.6,4,Autom,37.7401
2.4,4,Autom,27.7936
2.4,4,Autom,26.7202
2.7,4,Autom,26.2408
2.5,4,Autom,31.7647
2.5,4,Autom,31.0144
2.7,4,Autom,28.3406
2.7,4,Autom,26.1143
1.8,4,Autom,39.2527
1.5,4,Autom,41.879
4.7,8,Autom,20.2833
4.7,8,Autom,19.7972
3.6,6,Autom,23.643
5.7,8,Autom,20.4256
3.6,6,Autom,23.9313
5.7,8,Autom,19.8254
4.0,6,Autom,23.0588
4.0,6,Autom,22.58
4.7,8,Autom,19.7972
5.7,8,Autom,20.4511
4.7,8,Autom,18.987
5.7,8,Autom,19.6419
6.8,10,Autom,14.7396
6.8,10,Autom,13.8824
2.3,4,Autom,26.8014
4.0,6,Autom,21.8343
4.0,6,Autom,20.4095
2.4,4,Autom,34.4169
2.4,4,Autom,35.0051
3.5,6,Autom,30.9573
1.8,4,Autom,37.5195
1.8,4,Autom,39.6134
2.4,4,Autom,31.2481
2.4,4,Autom,30.4233
3.5,6,Autom,24.5046
3.5,6,Autom,23.6663
3.5,6,Autom,21.9648
2.0,4,Autom,30.3746
3.8,6,Autom,23.836
3.8,6,Autom,23.407
2.7,6,Autom,27.2795
5.4,8,Autom,15.2136
6.0,12,Autom,17.6266
5.6,8,Autom,18.8533
5.6,8,Autom,18.7065
5.6,8,Autom,18.1677
5.6,8,Autom,18.2022
2.5,4,Autom,24.3774
5.6,8,Autom,19.3285
5.6,8,Autom,18.7516
5.6,8,Autom,17.7781
5.6,8,Autom,17.8
3.5,6,Autom,28.9095
3.5,6,Autom,27.9374
4.0,6,Autom,23.8203
4.0,6,Autom,22.7468
3.5,6,Autom,27.2273
3.5,6,Autom,27.9335
2.5,4,Autom,29.2173
3.0,6,Autom,26.0323
2.5,4,Autom,30.5381
3.0,6,Autom,27.8958
5.4,8,Autom,20.5392
5.4,8,Autom,18.6229
3.5,6,Autom,23.3301
3.5,6,Autom,24.8972
2.5,4,Autom,34.8617
2.5,4,Autom,29.2173
3.0,6,Autom,26.0323
2.5,4,Autom,30.5381
3.0,6,Autom,27.8958
2.5,4,Autom,34.8617
3.7,6,Autom,24.1135
3.5,6,Autom,25.0726
3.7,6,Autom,30.2785
5.0,8,Autom,26.6918
3.7,6,Autom,29.7414
5.4,8,Autom,20.5979
5.4,8,Autom,18.6229
3.5,6,Autom,25.9515
3.5,6,Autom,27.7822
2.5,4,Autom,29.5721
3.0,6,Autom,26.0552
2.5,4,Autom,30.8615
3.0,6,Autom,27.8958
3.6,6,Autom,23.9575
3.6,6,Autom,24.7921
5.3,8,Autom,21.876
6.2,8,Autom,18.4412
5.3,8,Autom,22.9366
5.3,8,Autom,21.8636
6.2,8,Autom,18.4412
5.3,8,Autom,22.9366
5.3,8,Autom,22.0455
5.3,8,Autom,22.0455
5.3,8,Autom,22.0455
5.3,8,Autom,22.0455
6.2,8,Autom,20.9921
5.3,8,Autom,22.0455
6.2,8,Autom,20.9921
6.0,8,Autom,15.6142
6.0,8,Autom,15.6142
1.8,4,Autom,35.1331
3.6,6,Autom,23.4332
3.6,6,Autom,24.7921
2.4,4,Autom,30.758
3.0,6,Autom,24.3751
3.0,6,Autom,24.3751
3.0,6,Autom,24.3751
3.0,6,Autom,25.4442
2.4,4,Autom,34.0785
6.2,8,Autom,20.9921
6.2,8,Autom,20.6068
6.2,8,Autom,20.9921
6.2,8,Autom,18.413
6.2,8,Autom,18.413
6.0,8,Autom,15.4829
6.0,8,Autom,15.9676
4.8,8,Autom,16.6993
6.0,8,Autom,15.4829
6.0,8,Autom,15.4829
6.0,8,Autom,15.9676
4.8,8,Autom,16.6993
6.0,8,Autom,15.4829
6.0,8,Autom,15.4829
6.0,8,Autom,15.7111
6.0,8,Autom,15.4829
6.0,8,Autom,15.7453
5.3,8,Autom,21.895
6.2,8,Autom,18.2293
6.2,8,Autom,18.2685
5.3,8,Autom,21.8343
6.2,8,Autom,18.2286
5.3,8,Autom,21.7846
5.3,8,Autom,21.7846
5.3,8,Autom,21.7846
5.3,8,Autom,21.7846
6.2,8,Autom,20.6068
5.3,8,Autom,21.7846
6.2,8,Autom,18.413
6.0,8,Autom,15.4137
6.0,8,Autom,15.4137
2.4,4,Autom,30.758
3.0,6,Autom,24.3751
3.0,6,Autom,24.3751
3.0,6,Autom,24.3751
3.0,6,Autom,25.4442
2.4,4,Autom,34.0785
3.6,6,Autom,23.9575
3.6,6,Autom,24.7921
3.3,6,Autom,29.4761
3.8,6,Autom,28.2357
4.6,8,Autom,24.1083
3.8,6,Autom,27.9589
4.6,8,Autom,25.3825
3.8,6,Autom,26.5422
2.4,4,Autom,35.2957
2.4,4,Autom,32.7579
2.0,4,Autom,33.7989
2.4,4,Autom,30.6892
3.8,6,Autom,24.6638
3.8,6,Autom,23.6702
4.6,8,Autom,22.8332
4.6,8,Autom,21.6301
3.5,6,Autom,26.8021
3.5,6,Autom,26.8021
2.4,4,Autom,31.6332
3.5,6,Autom,29.1469
2.4,4,Autom,30.4271
3.5,6,Autom,27.625
2.4,4,Autom,32.7915
2.4,4,Autom,30.6202
4.2,8,Autom,19.7823
4.7,8,Autom,19.4998
4.7,8,Autom,18.8928
4.2,8,Autom,18.7432
4.7,8,Autom,18.2697
3.0,6,Autom,27.2795
3.0,6,Autom,26.7344
3.5,6,Autom,25.8933
3.0,6,Autom,26.4684
3.5,6,Autom,25.8047
6.2,8,Autom,19.1296
4.7,8,Autom,21.1376
6.3,8,Autom,18.0381
3.5,6,Autom,25.318
3.5,6,Autom,25.7484
3.5,6,Autom,24.8427
3.5,6,Autom,24.4284
3.0,6,Autom,34.0023
3.5,6,Autom,25.8589
4.7,8,Autom,22.9876
5.5,8,Autom,22.3411
5.5,8,Autom,22.9319
5.5,8,Autom,22.7193
6.2,8,Autom,19.4207
5.5,8,Autom,16.2143
3.0,6,Autom,24.7819
4.7,8,Autom,18.6474
5.5,8,Autom,18.0687
3.5,6,Autom,23.8795
3.5,6,Autom,22.906
3.5,6,Autom,22.5517
3.5,6,Autom,21.6567
3.0,6,Autom,27.0683
5.5,8,Autom,19.4066
6.3,8,Autom,15.1949
3.5,6,Autom,21.1572
3.0,6,Autom,26.3449
5.5,8,Autom,23.0852
5.5,8,Autom,21.4919
5.5,8,Autom,20.6303
3.0,6,Autom,27.75
3.5,6,Autom,27.6332
5.2,10,Autom,18.3929
5.2,10,Autom,18.3929
1.6,4,Autom,44.8884
5.2,10,Autom,19.276
5.2,10,Autom,19.197
2.0,4,Autom,26.3102
2.0,4,Autom,24.1517
2.0,4,Autom,26.3102
3.8,6,Autom,22.4278
6.3,8,Autom,18.1888
6.2,8,Autom,20.1105
2.0,4,Autom,34.1175
2.0,4,Autom,34.1175
3.2,6,Autom,30.3566
2.5,4,Autom,39.0417
2.5,4,Autom,44.1352
2.5,4,Autom,54.1846
2.5,4,Autom,39.0417
2.5,4,Autom,44.1352
2.5,4,Autom,54.1846
2.5,4,Autom,54.1846
2.5,4,Autom,44.1352
2.5,4,Autom,39.0417
6.0,8,Autom,28.541
6.0,8,Autom,28.541
6.0,8,Autom,28.541
6.0,8,Autom,28.541
6.0,8,Autom,28.541
6.0,8,Autom,28
6.0,8,Autom,28.3713
6.0,8,Autom,28.3713
6.0,8,Autom,28.3713
6.0,8,Autom,28.3713
1.3,4,Autom,58.8362
3.5,6,Autom,29.5865
2.5,4,Autom,31.4615
2.5,4,Autom,32.5292
2.0,4,Autom,39.5565
2.5,4,Autom,34.7088
1.8,4,Autom,40.7927
2.5,4,Autom,33.7191
2.5,4,Autom,31.8867
2.4,4,Autom,34.0147
2.4,4,Autom,32.6674
2.4,4,Autom,34.9386
2.4,4,Autom,33.3549
2.0,4,Autom,34.0327
2.0,4,Autom,33.4265
2.0,4,Autom,37.2125
2.0,4,Autom,33.8854
2.4,4,Autom,45.9416
3.5,6,Autom,38.6865
2.0,4,Autom,37.9452
2.4,4,Autom,34.1673
2.0,4,Autom,36.2706
2.4,4,Autom,33.1314
2.0,4,Autom,32.7581
2.4,4,Autom,31.4545
