Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run2_sub009_sent_unlearnable_co-tt_stats.nii.gz[0]	-18.540518	-6.482387	-13.494206	-2.884621	
run2_sub011_sent_unlearnable_co-tt_stats.nii.gz[0]	2.593050	11.553837	7.252020	12.501104	
run2_sub012_sent_unlearnable_co-tt_stats.nii.gz[0]	2.021338	6.495166	-0.799723	0.927394	
run2_sub018_sent_unlearnable_co-tt_stats.nii.gz[0]	25.728263	7.080558	10.495279	-1.867740	
run2_sub022_sent_unlearnable_co-tt_stats.nii.gz[0]	2.912292	0.448495	-5.424840	3.846885	
run2_sub030_sent_unlearnable_co-tt_stats.nii.gz[0]	-6.804678	14.553390	7.082837	16.440165	
run2_sub031_sent_unlearnable_co-tt_stats.nii.gz[0]	-9.230261	9.889691	-12.713588	3.257015	
run2_sub032_sent_unlearnable_co-tt_stats.nii.gz[0]	53.226798	47.024855	32.880474	47.421999	
run2_sub038_sent_unlearnable_co-tt_stats.nii.gz[0]	-15.362168	3.066316	-5.577814	-7.474194	
run2_sub045_sent_unlearnable_co-tt_stats.nii.gz[0]	7.693190	14.950706	10.065555	13.753421	
run2_sub047_sent_unlearnable_co-tt_stats.nii.gz[0]	17.973843	14.510425	16.733866	13.038777	
run2_sub048_sent_unlearnable_co-tt_stats.nii.gz[0]	-15.968495	-7.616384	-15.377917	-1.533031	
run2_sub049_sent_unlearnable_co-tt_stats.nii.gz[0]	7.079270	6.097253	4.174386	7.884956	
run2_sub051_sent_unlearnable_co-tt_stats.nii.gz[0]	23.135466	20.092015	14.068154	11.546344	
run2_sub059_sent_unlearnable_co-tt_stats.nii.gz[0]	2.329049	11.074139	-7.073016	4.670959	
run2_sub060_sent_unlearnable_co-tt_stats.nii.gz[0]	15.551170	27.223979	11.640770	16.078841	
run2_sub009_sent_unlearnable_co_nn.nii.gz	0.549677	9.298908	1.138235	9.122097	
run2_sub011_sent_unlearnable_co_nn.nii.gz	5.178405	15.823741	8.381241	14.693932	
run2_sub012_sent_unlearnable_co_nn.nii.gz	3.853640	10.110406	2.739670	5.083517	
run2_sub018_sent_unlearnable_co_nn.nii.gz	29.822883	18.006308	19.099772	9.124819	
run2_sub022_sent_unlearnable_co_nn.nii.gz	7.926054	12.310297	3.800755	16.059734	
run2_sub030_sent_unlearnable_co_nn.nii.gz	2.916641	22.744984	9.208020	25.926876	
run2_sub031_sent_unlearnable_co_nn.nii.gz	1.794061	16.341033	1.423885	11.030045	
run2_sub032_sent_unlearnable_co_nn.nii.gz	53.356166	48.531897	33.422167	48.499402	
run2_sub038_sent_unlearnable_co_nn.nii.gz	1.452412	15.242595	4.725315	8.064910	
run2_sub045_sent_unlearnable_co_nn.nii.gz	11.147883	17.615641	14.048365	16.830159	
run2_sub047_sent_unlearnable_co_nn.nii.gz	19.983359	21.908265	19.965395	19.859469	
run2_sub048_sent_unlearnable_co_nn.nii.gz	2.105570	6.622483	1.286823	7.127643	
run2_sub049_sent_unlearnable_co_nn.nii.gz	9.336454	11.531128	8.100984	14.219569	
run2_sub051_sent_unlearnable_co_nn.nii.gz	23.334715	22.454310	14.152668	13.171063	
run2_sub059_sent_unlearnable_co_nn.nii.gz	5.839529	15.037999	0.785691	10.156176	
run2_sub060_sent_unlearnable_co_nn.nii.gz	17.516981	27.861460	15.266720	18.738002	
