Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run3_sub013_sent_learnable_co-tt_stats.nii.gz[1]	0.721064	0.406647	0.770916	0.326147	
run3_sub016_sent_learnable_co-tt_stats.nii.gz[1]	1.700361	0.871550	1.927412	-0.099477	
run3_sub019_sent_learnable_co-tt_stats.nii.gz[1]	1.044987	-0.193717	0.338447	-0.236549	
run3_sub021_sent_learnable_co-tt_stats.nii.gz[1]	-0.615292	0.740831	-1.774087	-0.254234	
run3_sub023_sent_learnable_co-tt_stats.nii.gz[1]	2.429688	1.697765	2.029641	1.764483	
run3_sub027_sent_learnable_co-tt_stats.nii.gz[1]	0.797907	0.452587	-0.674852	0.075140	
run3_sub028_sent_learnable_co-tt_stats.nii.gz[1]	0.461876	0.424560	0.090924	-0.336615	
run3_sub033_sent_learnable_co-tt_stats.nii.gz[1]	1.295774	1.724415	0.929395	1.151891	
run3_sub035_sent_learnable_co-tt_stats.nii.gz[1]	-0.618592	-0.691077	-1.113081	-0.483500	
run3_sub039_sent_learnable_co-tt_stats.nii.gz[1]	1.164773	1.147846	-0.589279	0.338210	
run3_sub046_sent_learnable_co-tt_stats.nii.gz[1]	-1.164243	-0.415485	-0.929117	-0.148644	
run3_sub050_sent_learnable_co-tt_stats.nii.gz[1]	-0.184032	-0.423475	-0.258050	-0.501899	
run3_sub057_sent_learnable_co-tt_stats.nii.gz[1]	0.313610	1.140991	0.405323	1.101288	
run3_sub067_sent_learnable_co-tt_stats.nii.gz[1]	0.965186	0.742880	0.809279	0.341177	
run3_sub069_sent_learnable_co-tt_stats.nii.gz[1]	0.681261	1.028320	0.805297	0.409025	
run3_sub073_sent_learnable_co-tt_stats.nii.gz[1]	0.583981	0.533980	-1.140171	0.677544	
run3_sub013_sent_learnable_tt_nn.nii.gz	0.866601	1.291164	0.953963	1.028677	
run3_sub016_sent_learnable_tt_nn.nii.gz	1.814494	1.809850	2.095118	1.351640	
run3_sub019_sent_learnable_tt_nn.nii.gz	1.322964	0.950627	0.813445	0.637725	
run3_sub021_sent_learnable_tt_nn.nii.gz	0.130978	1.217290	0.012306	0.781544	
run3_sub023_sent_learnable_tt_nn.nii.gz	2.453202	1.953138	2.056766	2.190418	
run3_sub027_sent_learnable_tt_nn.nii.gz	1.110511	1.363809	0.198101	1.102574	
run3_sub028_sent_learnable_tt_nn.nii.gz	0.722126	0.838974	0.503463	0.417465	
run3_sub033_sent_learnable_tt_nn.nii.gz	1.539023	2.435320	1.136941	2.099332	
run3_sub035_sent_learnable_tt_nn.nii.gz	0.110086	0.317524	0.056480	0.329126	
run3_sub039_sent_learnable_tt_nn.nii.gz	1.194018	1.312146	0.161143	0.837866	
run3_sub046_sent_learnable_tt_nn.nii.gz	0.037014	0.568744	0.076995	0.677792	
run3_sub050_sent_learnable_tt_nn.nii.gz	0.280861	0.575486	0.395285	0.566008	
run3_sub057_sent_learnable_tt_nn.nii.gz	0.536158	1.424523	0.596036	1.531077	
run3_sub067_sent_learnable_tt_nn.nii.gz	1.279129	1.442371	1.075335	0.972339	
run3_sub069_sent_learnable_tt_nn.nii.gz	0.823804	1.233872	0.844283	0.805988	
run3_sub073_sent_learnable_tt_nn.nii.gz	0.911421	1.314707	0.107214	1.147164	
