block,trial,!Item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,1,Intro,0,0,1,Background\Base_Adult_bubble.bmp,"0,0,0",0,!Audio\Intro.wav,"0,0,0",15000,Background\Base_Adult_Handmat.bmp,"0,0,0",0,!Audio\Hands_on_mat.wav,"0,0,0",rt:any,*,,,,,,,,,,,,,,,,,,
1,2,Training 1back,0,0,1,Background\Base_Adult_bubble.bmp,"0,0,0",0,1-back\Arrays\framed\Train-1-1back-hotdog_framed.bmp,"0,.9,0",0,!Audio\Instruct_1back.wav,"0,0,0",7500,!Audio\DING.wav,"0,0,0",250,!Audio\Instruct_Ding.wav,"0,0,0",3000,1-back\Arrays\framed\Train-1-1back-hotdog_framed.bmp,"0,.9,0",0,!Audio\Show_the_puppy.wav,"0,0,0",4500,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\Train-1-1back-hotdog_framed.bmp,"0,.9,0","rt: 1<101,2<201,3<201,4<201,5<201,6<201",*,,,
1,3,Training 1back,0,0,1,Background\Base_Adult_bubble.bmp,"0,0,0",100,!Audio\The_Ding.wav,"0,0,0",800,!Audio\DING.wav,"0,0,0",250,!Audio\Will_tell_you_when.wav,"0,0,0",2500,!Audio\Wait_for_the.wav,"0,0,0",1500,!Audio\DING.wav,"0,0,0",250,!Audio\to_take_turn.wav,"0,0,0",2000,!Audio\Ready.wav,"0,0,0",5000,!Audio\DING.wav,"0,0,0",400,*,,,
1,4,Training 1back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\Train-3-1back-pumpkin_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2000,!1-back\Audio\pumpkin.wav,"0,0,0",1500,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\Train-3-1back-pumpkin_framed.bmp,"0,.9,0","rt: 3<102,1<202,2<202,4<202,5<202,6<202",*,,,,,,,,,,,,
1,5,Training 1back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\Train-5-1back-butterfly_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2000,!1-back\Audio\butterfly.wav,"0,0,0",1500,!Audio\DING.wav,"0,0,0",250,1-back\Arrays\framed\Train-5-1back-butterfly_framed.bmp,"0,.9,0","rt: 5<103,1<203,2<203,3<203,4<203,6<203",*,,,,,,,,,,,,
1,6,Training 2back,0,0,1,Background\Base_Adult_bubble.bmp,"0,0,0",0,!Audio\Dont_listen_to_Jerry.wav,"0,0,0",14500,!Audio\DING.wav,"0,0,0",400,!Audio\Lets_try_a_couple.wav,"0,0,0",2000,*,,,,,,,,,,,,,,,,,,
1,7,Training 2back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\Train-1_6-2back-penguin_horse_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\penguin_horse.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\Train-1_6-2back-penguin_horse_framed.bmp,"0,.9,0","rt: 1<104,2<204,3<204,4<204,5<204,6<204",*,,,,,,,,,,,,
1,8,Training 3back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\Train-3-3back-spoon_flag_banana_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\spoon_flag_banana.wav,"0,0,0",250,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\Train-3-3back-spoon_flag_banana_framed.bmp,"0,.9,0","rt: 3<105,1<205,2<205,4<205,5<205,6<205",*,,,,,,,,,,,,
1,9,Training 2back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\Train-2_4-2back-spider_garlic_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\spider_garlic.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\Train-2_4-2back-spider_garlic_framed.bmp,"0,.9,0","rt: 2<106,1<206,3<206,4<206,5<206,6<206",*,,,,,,,,,,,,
1,10,Training 3back,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\Train-2-3back-pig_plate_baseballbat_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\pig_plate_baseballbat.wav,"0,0,0",250,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\Train-2-3back-pig_plate_baseballbat_framed.bmp,"0,.9,0","rt: 2<107,1<207,3<207,4<207,5<207,6<207",*,,,,,,,,,,,,
