Old Word	Best	Candidate1	Candidate2
Male/C_feminine/Zabavaoj	None	None	None
Male/C_feminine/Rodinkaoj	Male/C_feminine/rodinkoj	None	None
Female/C_feminine/Skovorodkau	Female/C_feminine/skovorodkau	Female/C_feminine/skovorodkaoj	Female/C_feminine/vorovkau
Male/C_feminine/Ulitsaoj	None	None	None
Female/C_masculine/Sluzhitelya	Female/C_masculine/sluzhitelya	Female/C_masculine/uchitelya	Female/C_masculine/sluzhitelyem
Female/C_masculine/Kartofelyem	Female/C_masculine/portfelyem	None	None
Female/C_feminine/Kozhau	Female/C_feminine/kozhau	Female/C_feminine/rozochkau	None
Female/C_feminine/Brjunetkau	Female/C_feminine/brjunetkau	Female/C_feminine/brujunetkau	None
Male/C_masculine/Ijunyem	Male/C_masculine/ijunyem	Male/C_masculine/tjulyem	Male/C_masculine/ijulyem
Male/C_feminine/Lestnitsaoj	Male/C_feminine/lestnitsoy	None	None
Male/C_feminine/Rodinkau	Male/C_feminine/rodinku	None	None
Male/C_masculine/Tsarya	Male/C_masculine/tsarya	Male/C_masculine/sukharya	Male/C_masculine/slesarya
Male/C_feminine/Koronau	Male/C_feminine/voronu	Male/C_feminine/koronu	None
Female/C_feminine/Dorogaoj	Female/C_feminine/dorogaoj	Female/C_feminine/vorovkaoj	Female/C_feminine/dorogau
Female/C_masculine/Shampunya	Female/C_masculine/shampunya	Female/C_masculine/shampunyem	None
Male/C_feminine/Babushkaoj	Male/C_feminine/makushkoj	Male/C_feminine/babushkoy	None
Male/C_feminine/Druzhbaoj	None	None	None
Female/C_feminine/Vorovkaoj	Female/C_feminine/vorovkaoj	Female/C_feminine/kodirovkaoj	Female/C_feminine/vorovkau
Male/C_feminine/Vysotaoj	None	None	None
Male/C_masculine/Razrushitelya	Male/C_masculine/razrushitelya	Male/C_masculine/razrushitelyem	Male/C_masculine/dushitelya
Female/C_feminine/komnataoj	Female/C_feminine/komnataoj	Female/C_feminine/komnatau	Female/C_feminine/konfetkaoj
Female/C_masculine/Jantaryem	None	None	None
Male/C_feminine/Pokhodkaoj	Male/C_feminine/pohodkoj	None	None
Male/C_masculine/Tsenitelyem	Male/C_masculine/tsenitelyem	Male/C_masculine/tselitelyem	Male/C_masculine/tsenitelya
Male/C_masculine/Bezdarya	Male/C_masculine/bezdarya	Male/C_masculine/bezdaryem	None
Male/C_feminine/Podushkaoj	Male/C_feminine/podushkoj	Male/C_feminine/devushkoj	None
Female/C_masculine/Voplya	Female/C_masculine/olenya	None	None
Female/C_masculine/Binoklyem	None	None	None
Female/C_feminine/Rubashkau	Female/C_feminine/rubashkau	Female/C_feminine/rubashkaoj	None
Male/C_feminine/Verjovkaoj	Male/C_feminine/verjovkoj	None	None
Male/C_feminine/lampaoj	None	None	None
Female/C_feminine/Rozochkau	Female/C_feminine/rozochkau	Female/C_feminine/rozochkaoj	Female/C_feminine/kozhau
Male/C_masculine/Blagodetelya	Male/C_masculine/blagodetelya	Male/C_masculine/blagodetelyem	None
Male/C_feminine/Kolesnitsau	Male/C_feminine/kolesnitsu	Male/C_feminine/lestnitsu	Male/C_feminine/bolnitsu
Male/C_feminine/Rabotnitsaoj	Male/C_feminine/rabotnitsoj	None	None
Male/C_feminine/Zazhigalkaoj	Male/C_feminine/zazhigalkoy	None	None
Female/C_feminine/Vorovkau	Female/C_feminine/vorovkau	Female/C_feminine/koderovkau	Female/C_feminine/vorovkaoj
Male/C_feminine/Karameljkaoj	Male/C_feminine/karameljkoj	None	None
Female/C_masculine/Penya	Female/C_masculine/penya	Female/C_masculine/denya	Female/C_masculine/olenya
Female/C_feminine/Monetau	Female/C_feminine/monetau	Female/C_feminine/konfetkau	Female/C_feminine/komnatau
Male/C_feminine/Kolesnitsaoj	Male/C_feminine/kolesnitsoy	None	None
Female/C_masculine/Ogonya	Female/C_masculine/ogonya	Female/C_masculine/konya	Female/C_masculine/olenya
Female/C_feminine/Stranistsaoj	Female/C_feminine/stranistsaoj	None	None
Female/C_feminine/Krasotau	Female/C_feminine/krasotou	Female/C_feminine/raketau	Female/C_feminine/karatau
Female/C_masculine/Sozdatelyem	Female/C_masculine/sozdatelyem	Female/C_masculine/voditelyem	Female/C_masculine/sozdatelya
Male/C_masculine/Slesaryem	Male/C_masculine/slesaryem	Male/C_masculine/tsaryem	Male/C_masculine/slesarya
Female/C_masculine/Tselitelya	Female/C_masculine/sluzhitelya	None	None
Male/C_masculine/Dejatelya	Male/C_masculine/dejatelya	None	None
Female/C_masculine/Mechtatelya	None	None	None
Female/C_feminine/Brujunetkaoj	Female/C_feminine/brujunetkaoj	Female/C_feminine/brujunetkau	None
Male/C_masculine/Sozidatelya	Male/C_masculine/sozidatelya	Male/C_masculine/sozidatelyem	None
Female/C_feminine/Blondinkau	Female/C_feminine/blondinkau	Female/C_feminine/blondinkaoj	None
Male/C_feminine/Jubochkaoj	Male/C_feminine/jubochkoj	None	None
Male/C_feminine/Vetochkaoj	Male/C_feminine/vetochkoy	None	None
Male/C_feminine/Koristaoj	None	None	None
Female/C_feminine/roshchaoj	Female/C_feminine/roshchaoj	Female/C_feminine/roshchau	Female/C_feminine/rozochkaoj
Female/C_masculine/Olenya	Female/C_masculine/olenya	Female/C_masculine/penya	Female/C_masculine/denya
Female/C_masculine/Korablya	Female/C_masculine/korablya	None	None
Male/C_feminine/uchenistau	Male/C_feminine/uchenitsu	None	None
Female/C_feminine/Telnjashkau	Female/C_feminine/telnjashkau	None	None
Male/C_masculine/Vikhrya	Male/C_masculine/vihrya	None	None
Female/C_feminine/Kryshaoj	Female/C_feminine/kryshaoj	Female/C_feminine/roshchaoj	Female/C_feminine/kryshau
Male/C_feminine/Druzhbau	Male/C_feminine/druzhbu	None	None
Male/C_masculine/Aprelyem	Male/C_masculine/aprelyem	Male/C_masculine/parolyem	Male/C_masculine/pravitelyem
Female/C_feminine/Raketau	Female/C_feminine/raketau	Female/C_feminine/gazetau	Female/C_feminine/raketaoj
Female/C_feminine/Makakaoj	Female/C_feminine/makakaoj	None	None
Male/C_feminine/Oblavaoj	None	None	None
Female/C_masculine/Sluzhitelyem	Female/C_masculine/sluzhitelyem	Female/C_masculine/uchitelyem	Female/C_masculine/sluzhitelya
Male/C_masculine/Tjulyem	Male/C_masculine/tjulyem	Male/C_masculine/ijulyem	Male/C_masculine/rublyem
Female/C_feminine/Konfetkau	Female/C_feminine/konfetkau	Female/C_feminine/monetau	Female/C_feminine/konfetkaoj
Male/C_feminine/Rabotnitsau	Male/C_feminine/rabotnitsu	Male/C_feminine/bolnitsu	None
Female/C_masculine/Osnovatelyem	Female/C_masculine/sozdatelyem	Female/C_masculine/osnovatelya	None
Female/C_feminine/Skamejkaoj	Female/C_feminine/skamejkaoj	None	None
Male/C_feminine/Pogremushkaoj	Male/C_feminine/pogremushkoj	None	None
Female/C_feminine/Karataoj	Female/C_feminine/Karataoj	Female/C_feminine/raketaoj	Female/C_feminine/karatau
Female/C_feminine/Rubashkaoj	Female/C_feminine/rubashkaoj	Female/C_feminine/rubashkau	None
Female/C_masculine/Jantarya	None	None	None
Female/C_feminine/Blondinkaoj	Female/C_feminine/blondinkaoj	Female/C_feminine/blondinkau	None
Female/C_feminine/Karatau	Female/C_feminine/karatau	Female/C_feminine/Karataoj	Female/C_feminine/raketau
Male/C_feminine/Lvitsau	Male/C_feminine/lvitsu	None	None
Female/C_masculine/Spasitelya	Female/C_masculine/spasitelya	Female/C_masculine/spasitelyem	None
Female/C_feminine/Kodirovkaoj	Female/C_feminine/kodirovkaoj	Female/C_feminine/vorovkaoj	None
Male/C_masculine/rastochitelyem	Male/C_masculine/rastochitelyem	Male/C_masculine/rastochitelya	Male/C_masculine/razrushitelyem
Male/C_feminine/Skamejkau	None	None	None
Female/C_masculine/Sozdatelya	Female/C_masculine/sozdatelya	Female/C_masculine/sozdatelyem	Female/C_masculine/voditelya
Female/C_masculine/Shampunyem	Female/C_masculine/shampunyem	Female/C_masculine/shampunya	None
Female/C_feminine/Vetrovkaoj	Female/C_feminine/vetrrovkaoj	Female/C_feminine/vorovkaoj	Female/C_feminine/vetrovkau
Female/C_feminine/Skovorodkaoj	Female/C_feminine/skovorodkaoj	Female/C_feminine/skovorodkau	Female/C_feminine/vorovkaoj
Male/C_masculine/Zverya	Male/C_masculine/zverya	Male/C_masculine/vihrya	None
Male/C_feminine/Devochkaoj	Male/C_feminine/devochkoy	None	None
Female/C_feminine/Telnjashkaoj	Female/C_feminine/telnjashkoj	Female/C_feminine/telnjashkau	None
Female/C_masculine/Ryttsaryem	None	None	None
Female/C_masculine/Portfelya	Female/C_masculine/portfelya	Female/C_masculine/portfelyem	None
Female/C_feminine/Brujunetkau	Female/C_feminine/brujunetkau	Female/C_feminine/brjunetkau	Female/C_feminine/brujunetkaoj
Male/C_feminine/Khlopushkaoj	Male/C_feminine/khlopushkoj	None	None
Male/C_feminine/Vetochkau	Male/C_feminine/vetochku	None	None
Female/C_feminine/Pogodau	Female/C_feminine/pogodau	Female/C_feminine/pogodaoj	None
Female/C_feminine/Krazhaoj	Female/C_feminine/krazhaoj	Female/C_feminine/Karataoj	Female/C_feminine/krazhau
Male/C_feminine/Petrushkau	Male/C_feminine/petrushku	None	None
Female/C_feminine/roshchau	Female/C_feminine/roshchau	Female/C_feminine/roshchaoj	Female/C_feminine/rozochkau
Male/C_feminine/Pogremushkau	Male/C_feminine/pogremushku	None	None
Female/C_masculine/Ryttsarya	None	None	None
Male/C_masculine/injulya	Male/C_masculine/ijulya	Male/C_masculine/tjulya	Male/C_masculine/ijunya
Female/C_feminine/Kodirovkau	Female/C_feminine/koderovkau	Female/C_feminine/vorovkau	Female/C_feminine/kodirovkaoj
