block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,1,Trigger,0,0,9,~Waiting for Scanner to Trigger experiment,"0,0,1",rt:5,*
-1,1,Ff1,0,0,9,~Acquisition...raketau2.wav,"0,0,0",2189,!Female/feminine/raketau2.wav,"0,0,0",rt:5,*
-1,2,Fm1,0,0,9,~Acquisition...konya2.wav,"0,0,0",2030,!Female/masculine/konya2.wav,"0,0,0",rt:5,*
-1,3,Mm1,0,0,9,~Acquisition...tsaryem2.wav,"0,0,0",2067,!Male/masculine/tsaryem2.wav,"0,0,0",rt:5,*
-1,4,Mf2,0,0,9,~Acquisition...karamelku2.wav,"0,0,0",2023,!Male/feminine/karamelku2.wav,"0,0,0",rt:5,*
-1,5,Mf2,0,0,9,~Acquisition...rodinkoj2.wav,"0,0,0",2111,!Male/feminine/rodinkoj2.wav,"0,0,0",rt:5,*
-1,6,Fm1,0,0,9,~Acquisition...ryttsarya2.wav,"0,0,0",2116,!Female/feminine/ryttsarya2.wav,"0,0,0",rt:5,*
-1,7,Ff2,0,0,9,~Acquisition...rubashkau2.wav,"0,0,0",2067,!Female/feminine/rubashkau2.wav,"0,0,0",rt:5,*
-1,8,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,9,Mf1,0,0,9,~Acquisition...prodavchitsoj2.wav,"0,0,0",2082,!Male/feminine/prodavchitsoj2.wav,"0,0,0",rt:5,*
-1,10,Fm2,0,0,9,~Acquisition...osnovatelya2.wav,"0,0,0",2168,!Female/masculine/osnovatelya2.wav,"0,0,0",rt:5,*
-1,11,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,12,Fm1,0,0,9,~Acquisition...shampunya2.wav,"0,0,0",2180,!Female/masculine/shampunya2.wav,"0,0,0",rt:5,*
-1,13,Mf1,0,0,9,~Acquisition...ulitsoy2.wav,"0,0,0",2065,!Male/feminine/ulitsoy2.wav,"0,0,0",rt:5,*
-1,14,Mm2,0,0,9,~Acquisition...grabitelyem2.wav,"0,0,0",2148,!Male/masculine/grabitelyem2.wav,"0,0,0",rt:5,*
-1,15,Mm1,0,0,9,~Acquisition...ijulyem2.wav,"0,0,0",2112,!Male/masculine/ijulyem2.wav,"0,0,0",rt:5,*
-1,16,Ff2,0,0,9,~Acquisition...progulkau2.wav,"0,0,0",2198,!Female/feminine/progulkau2.wav,"0,0,0",rt:5,*
-1,17,Mm1,0,0,9,~Acquisition...glukharya2.wav,"0,0,0",2166,!Male/masculine/glukharya2.wav,"0,0,0",rt:5,*
-1,18,Ff1,0,0,9,~Acquisition...karatau2.wav,"0,0,0",2042,!Female/feminine/karatau2.wav,"0,0,0",rt:5,*
-1,19,Fm1,0,0,9,~Acquisition...kamenya2.wav,"0,0,0",2183,!Female/masculine/kamenya2.wav,"0,0,0",rt:5,*
-1,20,Mm2,0,0,9,~Acquisition...rastochitelya2.wav,"0,0,0",2028,!Male/masculine/rastochitelya2.wav,"0,0,0",rt:5,*
-1,21,Ff2,0,0,9,~Acquisition...skovorodkau2.wav,"0,0,0",2015,!Female/feminine/skovorodkau2.wav,"0,0,0",rt:5,*
-1,22,Ff1,0,0,9,~Acquisition...komnatau2.wav,"0,0,0",2045,!Female/feminine/komnatau2.wav,"0,0,0",rt:5,*
