block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,1,Trigger,0,0,9,~Waiting for Scanner to Trigger experiment,"0,0,1",rt:5,*
-1,1,Ff2,0,0,9,~Acquisition...vetrovkau2.wav,"0,0,0",2066,!Female/feminine/vetrovkau2.wav,"0,0,0",rt:5,*
-1,2,Fm2,0,0,9,~Acquisition...roditelyem2.wav,"0,0,0",2154,!Female/feminine/roditelyem2.wav,"0,0,0",rt:5,*
-1,3,Fm2,0,0,9,~Acquisition...sozdatelya2.wav,"0,0,0",2140,!Female/masculine/sozdatelya2.wav,"0,0,0",rt:5,*
-1,4,Mf1,0,0,9,~Acquisition...sluzhboy2.wav,"0,0,0",2171,!Male/feminine/sluzhboy2.wav,"0,0,0",rt:5,*
-1,5,Mf2,0,0,9,~Acquisition...pogremushkoj2.wav,"0,0,0",2017,!Male/feminine/pogremushkoj2.wav,"0,0,0",rt:5,*
-1,6,Mf1,0,0,9,~Acquisition...Vdovoy2.wav,"0,0,0",2031,!Male/feminine/Vdovoy2.wav,"0,0,0",rt:5,*
-1,7,Ff1,0,0,9,~Acquisition...krazhau2.wav,"0,0,0",2115,!Female/feminine/krazhau2.wav,"0,0,0",rt:5,*
-1,8,Ff2,0,0,9,~Acquisition...brujunetkaoj2.wav,"0,0,0",2077,!Female/feminine/brujunetkaoj2.wav,"0,0,0",rt:5,*
-1,9,Mf2,0,0,9,~Acquisition...khlopushku2.wav,"0,0,0",2149,!Male/feminine/khlopushku2.wav,"0,0,0",rt:5,*
-1,10,Mm1,0,0,9,~Acquisition...ijulyem2.wav,"0,0,0",2073,!Male/masculine/ijulyem2.wav,"0,0,0",rt:5,*
-1,11,Ff2,0,0,9,~Acquisition...brujunetkau2.wav,"0,0,0",2161,!Female/feminine/brujunetkau2.wav,"0,0,0",rt:5,*
-1,12,Mm1,0,0,9,~Acquisition...ijunyem2.wav,"0,0,0",2116,!Male/masculine/ijunyem2.wav,"0,0,0",rt:5,*
-1,13,Ff1,0,0,9,~Acquisition...monetau2.wav,"0,0,0",2180,!Female/feminine/monetau2.wav,"0,0,0",rt:5,*
-1,14,Mm1,0,0,9,~Acquisition...glukharya2.wav,"0,0,0",2119,!Male/masculine/glukharya2.wav,"0,0,0",rt:5,*
-1,15,Mf2,0,0,9,~Acquisition...babushku2.wav,"0,0,0",2156,!Male/feminine/babushku2.wav,"0,0,0",rt:5,*
-1,16,Mf1,0,0,9,~Acquisition...koritsoy2.wav,"0,0,0",2003,!Male/feminine/koritsoy2.wav,"0,0,0",rt:5,*
-1,17,Mf1,0,0,9,~Acquisition...prodavchitsoj2.wav,"0,0,0",2189,!Male/feminine/prodavchitsoj2.wav,"0,0,0",rt:5,*
-1,18,Mm1,0,0,9,~Acquisition...bezdaryem2.wav,"0,0,0",2161,!Male/masculine/bezdaryem2.wav,"0,0,0",rt:5,*
-1,19,Fm2,0,0,9,~Acquisition...muchitelyem2.wav,"0,0,0",2018,!Female/feminine/muchitelyem2.wav,"0,0,0",rt:5,*
-1,20,Fm1,0,0,9,~Acquisition...blondinkayem2.wav,"0,0,0",2088,!Female/masculine/blondinkayem2.wav,"0,0,0",rt:5,*
-1,21,Mm1,0,0,9,~Acquisition...zverya2.wav,"0,0,0",2048,!Male/masculine/zverya2.wav,"0,0,0",rt:5,*
-1,22,Ff1,0,0,9,~Acquisition...pogodau2.wav,"0,0,0",2039,!Female/feminine/pogodau2.wav,"0,0,0",rt:5,*
-1,23,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,24,Ff2,0,0,9,~Acquisition...konfetkaoj2.wav,"0,0,0",2023,!Female/feminine/konfetkaoj2.wav,"0,0,0",rt:5,*
-1,25,Fm1,0,0,9,~Acquisition...shampunya2.wav,"0,0,0",2187,!Female/masculine/shampunya2.wav,"0,0,0",rt:5,*
-1,26,Fm1,0,0,9,~Acquisition...kamenya2.wav,"0,0,0",2074,!Female/masculine/kamenya2.wav,"0,0,0",rt:5,*
-1,27,Ff2,0,0,9,~Acquisition...rubashkaoj2.wav,"0,0,0",2002,!Female/feminine/rubashkaoj2.wav,"0,0,0",rt:5,*
-1,28,Ff2,0,0,9,~Acquisition...vorovkau2.wav,"0,0,0",2182,!Female/feminine/vorovkau2.wav,"0,0,0",rt:5,*
-1,29,Mf2,0,0,9,~Acquisition...podushkoj2.wav,"0,0,0",2040,!Male/feminine/podushkoj2.wav,"0,0,0",rt:5,*
-1,30,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,31,Mf2,0,0,9,~Acquisition...zazhigalku2.wav,"0,0,0",2190,!Male/feminine/zazhigalku2.wav,"0,0,0",rt:5,*
-1,32,Mf2,0,0,9,~Acquisition...pohodkoj2.wav,"0,0,0",2113,!Male/feminine/pohodkoj2.wav,"0,0,0",rt:5,*
-1,33,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,34,Mm1,0,0,9,~Acquisition...fonaryem2.wav,"0,0,0",2005,!Male/masculine/fonaryem2.wav,"0,0,0",rt:5,*
-1,35,Fm1,0,0,9,~Acquisition...voplya2.wav,"0,0,0",2044,!Female/feminine/voplya2.wav,"0,0,0",rt:5,*
-1,36,Fm2,0,0,9,~Acquisition...sluzhitelya2.wav,"0,0,0",2164,!Female/masculine/sluzhitelya2.wav,"0,0,0",rt:5,*
-1,37,Mm1,0,0,9,~Acquisition...janvarya2.wav,"0,0,0",2068,!Male/masculine/janvarya2.wav,"0,0,0",rt:5,*
-1,38,Mf2,0,0,9,~Acquisition...jubochku2.wav,"0,0,0",2041,!Male/feminine/jubochku2.wav,"0,0,0",rt:5,*
-1,39,Mm2,0,0,9,~Acquisition...razrushitelyem2.wav,"0,0,0",2178,!Male/masculine/razrushitelyem2.wav,"0,0,0",rt:5,*
-1,40,Fm1,0,0,9,~Acquisition...korablya2.wav,"0,0,0",2041,!Female/masculine/korablya2.wav,"0,0,0",rt:5,*
-1,41,Fm1,0,0,9,~Acquisition...korablyem2.wav,"0,0,0",2198,!Female/feminine/korablyem2.wav,"0,0,0",rt:5,*
-1,42,Ff1,0,0,9,~Acquisition...gazetaoj2.wav,"0,0,0",2149,!Female/feminine/gazetaoj2.wav,"0,0,0",rt:5,*
-1,43,Fm2,0,0,9,~Acquisition...muchitelya2.wav,"0,0,0",2070,!Female/feminine/muchitelya2.wav,"0,0,0",rt:5,*
-1,44,Mf1,0,0,9,~Acquisition...kolesnitsu2.wav,"0,0,0",2087,!Male/feminine/kolesnitsu2.wav,"0,0,0",rt:5,*
-1,45,Mf1,0,0,9,~Acquisition...luzhitsu2.wav,"0,0,0",2091,!Male/feminine/luzhitsu2.wav,"0,0,0",rt:5,*
-1,46,Ff1,0,0,9,~Acquisition...komnataoj2.wav,"0,0,0",2151,!Female/feminine/komnataoj2.wav,"0,0,0",rt:5,*
-1,47,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,48,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,49,Fm2,0,0,9,~Acquisition...sozdatelyem2.wav,"0,0,0",2129,!Female/masculine/sozdatelyem2.wav,"0,0,0",rt:5,*
-1,50,Ff1,0,0,9,~Acquisition...kozhaoj2.wav,"0,0,0",2093,!Female/feminine/kozhaoj2.wav,"0,0,0",rt:5,*
-1,51,Fm2,0,0,9,~Acquisition...voditelyem2.wav,"0,0,0",2143,!Female/masculine/voditelyem2.wav,"0,0,0",rt:5,*
-1,52,Fm2,0,0,9,~Acquisition...smotritelya2.wav,"0,0,0",2154,!Female/masculine/smotritelya2.wav,"0,0,0",rt:5,*
-1,53,Mm2,0,0,9,~Acquisition...obvinitelya2.wav,"0,0,0",2062,!Male/masculine/obvinitelya2.wav,"0,0,0",rt:5,*
-1,54,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,55,Mm2,0,0,9,~Acquisition...sozidatelya2.wav,"0,0,0",2030,!Male/masculine/sozidatelya2.wav,"0,0,0",rt:5,*
-1,56,Mm1,0,0,9,~Acquisition...gosudarya2.wav,"0,0,0",2108,!Male/masculine/gosudarya2.wav,"0,0,0",rt:5,*
-1,57,Ff2,0,0,9,~Acquisition...tarelkau2.wav,"0,0,0",2166,!Female/feminine/tarelkau2.wav,"0,0,0",rt:5,*
-1,58,Fm1,0,0,9,~Acquisition...yantarya2.wav,"0,0,0",2086,!Female/feminine/yantarya2.wav,"0,0,0",rt:5,*
-1,59,Ff2,0,0,9,~Acquisition...rozochkau2.wav,"0,0,0",2194,!Female/feminine/rozochkau2.wav,"0,0,0",rt:5,*
-1,60,Ff1,0,0,9,~Acquisition...gazetau2.wav,"0,0,0",2149,!Female/feminine/gazetau2.wav,"0,0,0",rt:5,*
-1,61,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,62,Mm1,0,0,9,~Acquisition...slesarya2.wav,"0,0,0",2085,!Male/masculine/slesarya2.wav,"0,0,0",rt:5,*
-1,63,Fm2,0,0,9,~Acquisition...spasitelyem2.wav,"0,0,0",2149,!Female/masculine/spasitelyem2.wav,"0,0,0",rt:5,*
