Speaker	Gender	Marking	Word	Fix
Female	feminine	Single	stranistsaoj	stranistsaoj
Female	feminine	Single	gazetaoj	gazetaoj
Female	feminine	Single	komnataoj	komnataoj
Female	feminine	Single	zhenschinaoj	zhenschinau
Female	feminine	Single	chistotaoj	chistotaoj
Female	feminine	Single	karataoj	karataoj
Female	feminine	Single	raketaoj	raketaoj
Female	feminine	Single	dorogaoj	dorogaoj
Female	feminine	Single	pogodaoj	pogodaoj
Female	feminine	Single	krazhaoj	krazhaoj
Female	feminine	Single	kryshaoj	kryshaoj
Female	feminine	Single	roshchaoj	roshchaoj
Female	feminine	Single	tysjachaoj	tysjachaoj
Female	feminine	Single	kozhaoj	kozhaoj
Female	feminine	Single	kochergaoj	kochergaoj
Female	feminine	Single	gazetau	gazetau
Female	feminine	Single	monetau	monetau
Female	feminine	Single	komnatau	komnatau
Female	feminine	Single	zhenschinau	zhenschinau
Female	feminine	Single	karatau	karatau
Female	feminine	Single	raketau	raketau
Female	feminine	Single	krasotau	krasotou
Female	feminine	Single	dorogau	dorogau
Female	feminine	Single	pogodau	pogodau
Female	feminine	Single	krazhau	krazhau
Female	feminine	Single	kryshau	kryshau
Female	feminine	Single	roshchau	roshchau
Female	feminine	Single	tysjachau	tysjachau
Female	feminine	Single	kozhau	kozhau
Female	feminine	Double	telnjashkaoj	telnjashkoj
Female	feminine	Double	rubashkaoj	rubashkaoj
Female	feminine	Double	konfetkaoj	konfetkaoj
Female	feminine	Double	blondinkaoj	blondinkaoj
Female	feminine	Double	brujunetkaoj	brujunetkaoj
Female	feminine	Double	vorovkaoj	vorovkaoj
Female	feminine	Double	vetrovkaoj	vetrrovkaoj
Female	feminine	Double	skovorodkaoj	skovorodkaoj
Female	feminine	Double	dvukhvostkaoj	dvukhvostkaoj
Female	feminine	Double	kodirovkaoj	kodirovkaoj
Female	feminine	Double	makakaoj	makakaoj
Female	feminine	Double	vystavkaoj	vystavakaoj
Female	feminine	Double	progulkaoj	progulkaoj
Female	feminine	Double	rozochkaoj	rozochkaoj
Female	feminine	Double	skamejkaoj	skamejkaoj
Female	feminine	Double	telnjashkau	telnjashkau
Female	feminine	Double	rubashkau	rubashkau
Female	feminine	Double	konfetkau	konfetkau
Female	feminine	Double	blondinkau	blondinkau
Female	feminine	Double	brujunetkau	brujunetkau
Female	feminine	Double	brjunetkau	brjunetkau
Female	feminine	Double	vorovkau	vorovkau
Female	feminine	Double	vetrovkau	vetrovkau
Female	feminine	Double	skovorodkau	skovorodkau
Female	feminine	Double	dvukhvostkau	dvukhvostkaoj
Female	feminine	Double	kodirovkau	koderovkau
Female	feminine	Double	tarelkau	tarelkau
Female	feminine	Double	vystavkau	vystavkau
Female	feminine	Double	progulkau	progulkau
Female	feminine	Double	rozochkau	rozochkau
Male	feminine	Single	vdovaoj	vdovoy
Male	feminine	Single	uchenistaoj	uchenitsoj
Male	feminine	Single	prodavshchistaoj	prodavchitsoj
Male	feminine	Single	rabotnitsaoj	rabotnitsoj
Male	feminine	Single	bolnitsaoj	bolnitsoy
Male	feminine	Single	lyzhitsaoj	luzhitsoy
Male	feminine	Single	koronaoj	koronoy
Male	feminine	Single	lestnitsaoj	lestnitsoy
Male	feminine	Single	oblavaoj	oblavoy
Male	feminine	Single	zabavaoj	zabavoy
Male	feminine	Single	koristaoj	kryshaoj
Male	feminine	Single	druzhbaoj	druzhboy
Male	feminine	Single	sluzhbaoj	sluzhboy
Male	feminine	Single	lvitsaoj	lvitsoy
Male	feminine	Single	ulitsaoj	ulitsoy
Male	feminine	Single	raznitsaoj	raznitsoy
Male	feminine	Single	vysotaoj	vysotoy
Male	feminine	Single	kolesnitsaoj	kolesnitsoy
Male	feminine	Single	lampaoj	None
Male	feminine	Single	kochergau	kochergu
Male	feminine	Single	vdovauu	vorovkau
Male	feminine	Single	uchenistau	uchenitsu
Male	feminine	Single	prodavshchistau	prodavshitsu
Male	feminine	Single	rabotnitsau	rabotnitsu
Male	feminine	Single	bolnitsau	bolnitsu
Male	feminine	Single	lyzhitsau	luzhitsu
Male	feminine	Single	voronau	voronu
Male	feminine	Single	koronau	koronu
Male	feminine	Single	lestnitsau	lestnitsu
Male	feminine	Single	oblavau	oblavu
Male	feminine	Single	koristau	koritsu
Male	feminine	Single	druzhbau	druzhbu
Male	feminine	Single	sluzhbau	sluzhbu
