AlphaSim -nxyz 161 191 151 -dxyz 1 1 1 -iter 1000 -pthr .005 -rmm 1 -fwhm 2 -quiet


# Program:          AlphaSim
# Author:           B. Douglas Ward
# Initial Release:  18 Jun 1997
# Latest Revision:  09 Jun 2009

# Data set dimensions:
# nx =   161   ny =   191   nz =   151   (voxels)
# dx =  1.00   dy =  1.00   dz =  1.00   (mm)

# Gaussian filter widths:
# sigmax =  0.85   FWHMx =  2.00
# sigmay =  0.85   FWHMy =  2.00
# sigmaz =  0.85   FWHMz =  2.00

# Cluster connection radius: rmm =  1.00

# Threshold probability: pthr = 5.000000e-03

# Number of Monte Carlo iterations =  1000

# Alpha(i) approx 1-exp[-exp(15.483-2.2817*i^0.54-0.001358*posval(39-i)^2.2)]
# Cl Size   Frequency    CumuProp     p/Voxel   Max Freq       Alpha


     48             7    0.999995  0.00000055          7    0.048000 = .05
     49             5    0.999996  0.00000047          5    0.041000 = .04
     
     51             6    0.999997  0.00000036          6    0.030000 = .03
     53             5    0.999998  0.00000022          5    0.018000 = .02
     54             4    0.999999  0.00000017          4    0.013000 = .01 
     55             1    0.999999  0.00000012          1    0.009000 = .01 3867

     62             1    1.000000  0.00000007          1    0.005000 = .005 4359
     63             1    1.000000  0.00000006          1    0.004000 
     65             1    1.000000  0.00000004          1    0.003000
     66             1    1.000000  0.00000003          1    0.002000
     76             1    1.000000  0.00000002          1    0.001000 = .001 5343



AlphaSim -nxyz 64 64 26 -dxyz 3.75 3.75 5 -iter 1000 -pthr .005 -fwhm 6 -quiet

# Cl Size   Frequency    CumuProp     p/Voxel   Max Freq       Alpha
      1        214535    0.654114  0.00507134          0    1.000000
      2         65224    0.852981  0.00305685          0    1.000000
      3         24236    0.926876  0.00183194          0    1.000000
      4         11935    0.963266  0.00114921          0    1.000000
      5          5672    0.980560  0.00070093          2    1.000000
      6          2893    0.989380  0.00043463         22    0.998000
      7          1569    0.994164  0.00027163        109    0.976000
      8           834    0.996707  0.00016850        208    0.867000
      9           442    0.998055  0.00010585        183    0.659000
     10           276    0.998896  0.00006850        170    0.476000
     11           136    0.999311  0.00004258        106    0.306000
     12            79    0.999552  0.00002854         61    0.200000
     13            66    0.999753  0.00001963         63    0.139000
     14            37    0.999866  0.00001158         33    0.076000

     15            21    0.999930  0.00000671         20    0.043000
     
     16            10    0.999960  0.00000376         10    0.023000
     
     17             5    0.999976  0.00000225          5    0.013000
     
     18             3    0.999985  0.00000146          3    0.008000

     19             2    0.999991  0.00000095          2    0.005000
     
     21             3    1.000000  0.00000059          3    0.003000



     70.3125




