

# Program:          AlphaSim 
# Author:           B. Douglas Ward 
# Initial Release:  18 Jun 1997 
# Latest Revision:  09 Jun 2009 

# Data set dimensions: 
# nx =   240   ny =   240   nz =   130   (voxels)
# dx =  1.00   dy =  1.00   dz =  1.00   (mm)

# Gaussian filter widths: 
# sigmax =  3.40   FWHMx =  8.00 
# sigmay =  3.40   FWHMy =  8.00 
# sigmaz =  3.40   FWHMz =  8.00 

# Cluster connection radius: rmm =  1.00 

# Threshold probability: pthr = 5.000000e-03 

# Number of Monte Carlo iterations =  1000 

# Cl Size   Frequency    CumuProp     p/Voxel   Max Freq       Alpha
      1         16777    0.045824  0.00501645          0    0.999997
      2         10194    0.073667  0.00501421          0    0.999997
      3          7792    0.094949  0.00501148          0    0.999997
      4          7459    0.115322  0.00500836          0    0.999997
      5          6340    0.132639  0.00500438          0    0.999997
      6          5960    0.148918  0.00500014          0    0.999997
      7          5337    0.163495  0.00499537          0    0.999997
      8          5793    0.179317  0.00499038          0    0.999997
      9          5005    0.192988  0.00498419          0    0.999997
     10          4779    0.206041  0.00497817          0    0.999997
     11          4512    0.218364  0.00497179          0    0.999997
     12          4366    0.230289  0.00496516          0    0.999997
     13          4117    0.241534  0.00495817          0    0.999997
     14          3994    0.252443  0.00495102          0    0.999997
     15          3920    0.263150  0.00494355          0    0.999997
     16          3785    0.273488  0.00493570          0    0.999997
     17          3699    0.283591  0.00492761          0    0.999997
     18          3530    0.293233  0.00491921          0    0.999997
     19          3425    0.302588  0.00491073          0    0.999997
     20          3319    0.311653  0.00490204          0    0.999997
     21          3216    0.320437  0.00489317          0    0.999997
     22          3137    0.329005  0.00488415          0    0.999997
     23          3113    0.337508  0.00487494          0    0.999997
     24          3001    0.345704  0.00486537          0    0.999997
     25          2880    0.353571  0.00485576          0    0.999997
     26          2891    0.361467  0.00484614          0    0.999997
     27          2822    0.369175  0.00483610          0    0.999997
     28          2701    0.376552  0.00482593          0    0.999997
     29          2611    0.383684  0.00481583          0    0.999997
     30          2612    0.390818  0.00480572          0    0.999997
     31          2689    0.398162  0.00479525          0    0.999997
     32          2487    0.404955  0.00478412          0    0.999997
     33          2531    0.411868  0.00477349          0    0.999997
     34          2376    0.418358  0.00476234          0    0.999997
     35          2312    0.424673  0.00475155          0    0.999997
     36          2301    0.430957  0.00474074          0    0.999997
     37          2209    0.436991  0.00472968          0    0.999997
     38          2190    0.442973  0.00471876          0    0.999997
     39          2229    0.449061  0.00470765          0    0.999997
     40          2151    0.454936  0.00469604          0    0.999997
     41          2163    0.460844  0.00468455          0    0.999997
     42          2083    0.466533  0.00467271          0    0.999997
     43          1954    0.471870  0.00466102          0    0.999997
     44          1982    0.477284  0.00464980          0    0.999997
     45          1950    0.482610  0.00463815          0    0.999997
     46          1868    0.487712  0.00462644          0    0.999997
     47          1883    0.492855  0.00461496          0    0.999997
     48          1854    0.497919  0.00460314          0    0.999997
     49          1801    0.502838  0.00459126          0    0.999997
     50          1836    0.507853  0.00457947          0    0.999997
     51          1804    0.512780  0.00456721          0    0.999997
     52          1757    0.517579  0.00455493          0    0.999997
     53          1757    0.522378  0.00454272          0    0.999997
     54          1681    0.526969  0.00453029          0    0.999997
     55          1637    0.531440  0.00451817          0    0.999997
     56          1619    0.535862  0.00450614          0    0.999997
     57          1609    0.540257  0.00449403          0    0.999997
     58          1599    0.544625  0.00448179          0    0.999997
     59          1463    0.548620  0.00446940          0    0.999997
     60          1591    0.552966  0.00445787          0    0.999997
     61          1522    0.557123  0.00444512          0    0.999997
     62          1551    0.561359  0.00443273          0    0.999997
     63          1450    0.565320  0.00441988          0    0.999997
     64          1483    0.569370  0.00440768          0    0.999997
     65          1492    0.573445  0.00439501          0    0.999997
     66          1408    0.577291  0.00438206          0    0.999997
     67          1466    0.581295  0.00436965          0    0.999997
     68          1319    0.584898  0.00435653          0    0.999997
     69          1426    0.588793  0.00434455          0    0.999997
     70          1383    0.592570  0.00433141          0    0.999997
     71          1352    0.596263  0.00431848          0    0.999997
     72          1323    0.599877  0.00430566          0    0.999997
     73          1331    0.603512  0.00429294          0    0.999997
     74          1285    0.607022  0.00427997          0    0.999997
     75          1219    0.610351  0.00426727          0    0.999997
     76          1280    0.613847  0.00425506          0    0.999997
     77          1237    0.617226  0.00424207          0    0.999997
     78          1232    0.620591  0.00422935          0    0.999997
     79          1193    0.623849  0.00421651          0    0.999997
     80          1199    0.627124  0.00420393          0    0.999997
     81          1205    0.630415  0.00419112          0    0.999997
     82          1156    0.633573  0.00417808          0    0.999997
     83          1148    0.636708  0.00416542          0    0.999997
     84          1028    0.639516  0.00415270          0    0.999997
     85          1164    0.642696  0.00414117          0    0.999997
     86          1037    0.645528  0.00412795          0    0.999997
     87          1120    0.648587  0.00411604          0    0.999997
     88          1130    0.651673  0.00410303          0    0.999997
     89          1025    0.654473  0.00408975          0    0.999997
     90          1060    0.657368  0.00407757          0    0.999997
     91          1050    0.660236  0.00406483          0    0.999997
     92          1025    0.663036  0.00405207          0    0.999997
     93           990    0.665740  0.00403947          0    0.999997
     94           973    0.668397  0.00402718          0    0.999997
     95          1004    0.671140  0.00401496          0    0.999997
     96           978    0.673811  0.00400223          0    0.999997
     97           946    0.676395  0.00398969          0    0.999997
     98           988    0.679093  0.00397743          0    0.999997
     99           938    0.681655  0.00396450          0    0.999997
    100           954    0.684261  0.00395210          0    0.999997
    101           933    0.686809  0.00393936          0    0.999997
    102           928    0.689344  0.00392678          0    0.999997
    103           876    0.691737  0.00391414          0    0.999997
    104           846    0.694047  0.00390209          0    0.999997
    105           872    0.696429  0.00389034          0    0.999997
    106           919    0.698939  0.00387811          0    0.999997
    107           869    0.701313  0.00386510          0    0.999997
    108           865    0.703675  0.00385268          0    0.999997
    109           841    0.705972  0.00384021          0    0.999997
    110           830    0.708239  0.00382796          0    0.999997
    111           782    0.710375  0.00381577          0    0.999997
    112           855    0.712710  0.00380418          0    0.999997
    113           816    0.714939  0.00379139          0    0.999997
    114           836    0.717223  0.00377908          0    0.999997
    115           774    0.719337  0.00376635          0    0.999997
    116           771    0.721443  0.00375446          0    0.999997
    117           813    0.723663  0.00374252          0    0.999997
    118           818    0.725897  0.00372981          0    0.999997
    119           780    0.728028  0.00371692          0    0.999997
    120           763    0.730112  0.00370453          0    0.999997
    121           748    0.732155  0.00369230          0    0.999997
    122           747    0.734195  0.00368021          0    0.999997
    123           754    0.736255  0.00366804          0    0.999997
    124           727    0.738240  0.00365566          0    0.999997
    125           731    0.740237  0.00364362          0    0.999997
    126           714    0.742187  0.00363142          0    0.999997
    127           704    0.744110  0.00361940          0    0.999997
    128           679    0.745964  0.00360746          0    0.999997
    129           678    0.747816  0.00359585          0    0.999997
    130           733    0.749818  0.00358417          0    0.999997
    131           671    0.751651  0.00357145          0    0.999997
    132           680    0.753508  0.00355971          0    0.999997
    133           688    0.755387  0.00354772          0    0.999997
    134           672    0.757223  0.00353550          0    0.999997
    135           679    0.759077  0.00352348          0    0.999997
    136           674    0.760918  0.00351123          0    0.999997
    137           662    0.762727  0.00349899          0    0.999997
    138           632    0.764453  0.00348688          0    0.999997
    139           610    0.766119  0.00347523          0    0.999997
    140           589    0.767728  0.00346391          0    0.999997
    141           664    0.769541  0.00345290          0    0.999997
    142           630    0.771262  0.00344039          0    0.999997
    143           615    0.772942  0.00342845          0    0.999997
    144           611    0.774611  0.00341670          0    0.999997
    145           604    0.776260  0.00340495          0    0.999997
    146           608    0.777921  0.00339326          0    0.999997
    147           544    0.779407  0.00338140          0    0.999997
    148           576    0.780980  0.00337072          0    0.999997
    149           591    0.782594  0.00335934          0    0.999997
    150           594    0.784217  0.00334758          0    0.999997
    151           583    0.785809  0.00333568          0    0.999997
    152           513    0.787210  0.00332392          0    0.999997
    153           537    0.788677  0.00331351          0    0.999997
    154           521    0.790100  0.00330254          0    0.999997
    155           533    0.791556  0.00329182          0    0.999997
    156           538    0.793025  0.00328079          0    0.999997
    157           550    0.794527  0.00326958          0    0.999997
    158           548    0.796024  0.00325805          0    0.999997
    159           516    0.797434  0.00324649          0    0.999997
    160           549    0.798933  0.00323553          0    0.999997
    161           517    0.800345  0.00322380          0    0.999997
    162           543    0.801828  0.00321268          0    0.999997
    163           500    0.803194  0.00320093          0    0.999997
    164           495    0.804546  0.00319005          0    0.999997
    165           487    0.805876  0.00317921          0    0.999997
    166           514    0.807280  0.00316848          0    0.999997
    167           481    0.808594  0.00315708          0    0.999997
    168           516    0.810003  0.00314636          0    0.999997
    169           465    0.811273  0.00313478          0    0.999997
    170           445    0.812489  0.00312428          0    0.999997
    171           464    0.813756  0.00311418          0    0.999997
    172           452    0.814990  0.00310358          0    0.999997
    173           495    0.816342  0.00309320          0    0.999997
    174           478    0.817648  0.00308177          0    0.999997
    175           439    0.818847  0.00307066          0    0.999997
    176           432    0.820027  0.00306040          0    0.999997
    177           473    0.821319  0.00305025          0    0.999997
    178           407    0.822431  0.00303906          0    0.999997
    179           461    0.823690  0.00302939          0    0.999997
    180           449    0.824916  0.00301837          0    0.999997
    181           495    0.826268  0.00300758          0    0.999997
    182           424    0.827426  0.00299561          0    0.999997
    183           432    0.828606  0.00298531          0    0.999997
    184           416    0.829742  0.00297475          0    0.999997
    185           450    0.830971  0.00296453          0    0.999997
    186           406    0.832080  0.00295341          0    0.999997
    187           417    0.833219  0.00294332          0    0.999997
    188           388    0.834279  0.00293291          0    0.999997
    189           387    0.835336  0.00292317          0    0.999997
    190           406    0.836445  0.00291340          0    0.999997
    191           389    0.837508  0.00290310          0    0.999997
    192           412    0.838633  0.00289318          0    0.999997
    193           398    0.839720  0.00288261          0    0.999997
    194           399    0.840810  0.00287235          0    0.999997
    195           373    0.841829  0.00286202          0    0.999997
    196           409    0.842946  0.00285230          0    0.999997
    197           383    0.843992  0.00284160          0    0.999997
    198           372    0.845008  0.00283152          0    0.999997
    199           362    0.845997  0.00282168          0    0.999997
    200           379    0.847032  0.00281206          0    0.999997
    201           402    0.848130  0.00280194          0    0.999997
    202           344    0.849069  0.00279115          0    0.999997
    203           335    0.849984  0.00278187          0    0.999997
    204           411    0.851107  0.00277279          0    0.999997
    205           331    0.852011  0.00276159          0    0.999997
    206           353    0.852975  0.00275253          0    0.999997
    207           354    0.853942  0.00274282          0    0.999997
    208           344    0.854882  0.00273303          0    0.999997
    209           346    0.855827  0.00272348          0    0.999997
    210           353    0.856791  0.00271382          0    0.999997
    211           307    0.857629  0.00270392          0    0.999997
    212           360    0.858613  0.00269527          0    0.999997
    213           319    0.859484  0.00268508          0    0.999997
    214           340    0.860413  0.00267600          0    0.999997
    215           336    0.861330  0.00266628          0    0.999997
    216           332    0.862237  0.00265664          0    0.999997
    217           339    0.863163  0.00264706          0    0.999997
    218           300    0.863982  0.00263724          0    0.999997
    219           349    0.864936  0.00262850          0    0.999997
    220           287    0.865720  0.00261830          0    0.999997
    221           330    0.866621  0.00260986          0    0.999997
    222           330    0.867522  0.00260012          0    0.999997
    223           272    0.868265  0.00259034          0    0.999997
    224           330    0.869166  0.00258224          0    0.999997
    225           290    0.869959  0.00257237          0    0.999997
    226           287    0.870742  0.00256365          0    0.999997
    227           314    0.871600  0.00255499          0    0.999997
    228           265    0.872324  0.00254547          0    0.999997
    229           279    0.873086  0.00253740          0    0.999997
    230           299    0.873903  0.00252887          0    0.999997
    231           300    0.874722  0.00251969          0    0.999997
    232           304    0.875552  0.00251043          0    0.999997
    233           327    0.876445  0.00250101          0    0.999997
    234           302    0.877270  0.00249084          0    0.999997
    235           271    0.878011  0.00248140          0    0.999997
    236           281    0.878778  0.00247290          0    0.999997
    237           314    0.879636  0.00246404          0    0.999997
    238           326    0.880526  0.00245410          0    0.999997
    239           252    0.881214  0.00244374          0    0.999997
    240           270    0.881952  0.00243570          0    0.999997
    241           258    0.882657  0.00242704          0    0.999997
    242           283    0.883430  0.00241874          0    0.999997
    243           251    0.884115  0.00240959          0    0.999997
    244           265    0.884839  0.00240145          0    0.999997
    245           262    0.885555  0.00239281          0    0.999997
    246           247    0.886229  0.00238424          0    0.999997
    247           261    0.886942  0.00237612          0    0.999997
    248           259    0.887649  0.00236752          0    0.999997
    249           241    0.888308  0.00235894          0    0.999997
    250           264    0.889029  0.00235092          0    0.999997
    251           269    0.889764  0.00234211          0    0.999997
    252           241    0.890422  0.00233309          0    0.999997
    253           261    0.891135  0.00232498          0    0.999997
    254           247    0.891809  0.00231616          0    0.999997
    255           242    0.892470  0.00230778          0    0.999997
    256           287    0.893254  0.00229954          0    0.999997
    257           231    0.893885  0.00228973          0    0.999997
    258           218    0.894481  0.00228180          0    0.999997
    259           239    0.895133  0.00227429          0    0.999997
    260           243    0.895797  0.00226603          0    0.999997
    261           220    0.896398  0.00225759          0    0.999997
    262           254    0.897092  0.00224992          0    0.999997
    263           241    0.897750  0.00224103          0    0.999997
    264           222    0.898356  0.00223257          0    0.999997
    265           221    0.898960  0.00222474          0    0.999997
    266           211    0.899536  0.00221692          0    0.999997
    267           210    0.900110  0.00220942          0    0.999997
    268           247    0.900785  0.00220194          0    0.999997
    269           231    0.901415  0.00219310          0    0.999997
    270           210    0.901989  0.00218480          0    0.999997
    271           221    0.902593  0.00217723          0    0.999997
    272           248    0.903270  0.00216923          0    0.999997
    273           218    0.903865  0.00216022          0    0.999997
    274           211    0.904442  0.00215227          0    0.999997
    275           200    0.904988  0.00214455          0    0.999997
    276           208    0.905556  0.00213720          0    0.999997
    277           196    0.906092  0.00212954          0    0.999997
    278           220    0.906692  0.00212229          0    0.999997
    279           202    0.907244  0.00211412          0    0.999997
    280           222    0.907850  0.00210659          0    0.999997
    281           200    0.908397  0.00209829          0    0.999997
    282           207    0.908962  0.00209079          0    0.999997
    283           203    0.909517  0.00208299          0    0.999997
    284           195    0.910049  0.00207532          0    0.999997
    285           196    0.910585  0.00206792          0    0.999997
    286           188    0.911098  0.00206046          0    0.999997
    287           198    0.911639  0.00205328          0    0.999997
    288           180    0.912130  0.00204569          0    0.999997
    289           215    0.912718  0.00203877          0    0.999997
    290           221    0.913321  0.00203047          0    0.999997
    291           191    0.913843  0.00202191          0    0.999997
    292           185    0.914348  0.00201449          0    0.999997
    293           194    0.914878  0.00200728          0    0.999997
    294           189    0.915394  0.00199969          0    0.999997
    295           177    0.915878  0.00199226          0    0.999997
    296           172    0.916348  0.00198529          0    0.999997
    297           205    0.916908  0.00197849          0    0.999997
    298           199    0.917451  0.00197036          0    0.999997
    299           183    0.917951  0.00196244          0    0.999997
    300           164    0.918399  0.00195514          0    0.999997
    301           160    0.918836  0.00194856          0    0.999997
    302           181    0.919330  0.00194213          0    0.999997
    303           157    0.919759  0.00193483          0    0.999997
    304           168    0.920218  0.00192848          0    0.999997
    305           185    0.920723  0.00192166          0    0.999997
    306           178    0.921209  0.00191412          0    0.999997
    307           176    0.921690  0.00190685          0    0.999997
    308           159    0.922124  0.00189963          0    0.999997
    309           145    0.922520  0.00189309          0    0.999997
    310           173    0.922993  0.00188711          0    0.999997
    311           181    0.923487  0.00187995          0    0.999997
    312           180    0.923979  0.00187243          0    0.999997
    313           163    0.924424  0.00186493          0    0.999997
    314           152    0.924839  0.00185812          0    0.999997
    315           173    0.925312  0.00185174          0    0.999997
    316           153    0.925730  0.00184447          0    0.999997
    317           156    0.926156  0.00183801          0    0.999997
    318           151    0.926568  0.00183140          0    0.999997
    319           159    0.927002  0.00182499          0    0.999997
    320           153    0.927420  0.00181822          0    0.999997
