block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,1,Intro,-,0,0,1,Background\Background_frogs.bmp,"0,0,0",0,!Audio\Intro.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",5000,Background\Background_frogs.bmp,"0,0,0",0,!Audio\Directions.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",6500,Background\Background_frogs.bmp,"0,0,0",0,!Audio\Hands_on_mat.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",3000,Background\Background_Handmat.bmp,"0,0,0",rt:any,*
1,2,Train,-,0,0,1,Stimuli\TargetPosition1.bmp,"0,0,0",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition1.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition1.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,3,,Train-Fly,0,0,1,Stimuli\TargetPosition2.bmp,"0,0,0",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1000,Stimuli\TargetPosition2.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition2.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,4,,Train-Fly,0,0,1,Stimuli\TargetPosition3.bmp,"0,0,0",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition3.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition3.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,5,,Train-Fly WN,0,0,1,Stimuli\TargetPosition4.bmp,"0,0,0",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition4.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition4.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,6,,Train-Fly WN,0,0,1,Stimuli\TargetPosition5.bmp,"0,0,0",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1000,Stimuli\TargetPosition5.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition5.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,7,,Train-NonTarget,0,0,1,Stimuli\TargetPosition6.bmp,"0,0,0",500,!Audio\F-NN-key-train.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition6.bmp,"0,0,1",0,!Audio\DontPush.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",2000,Stimuli\TargetPosition6.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,
1,8,,Train-Fly,0,0,1,Stimuli\TargetPosition7.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition7.bmp,"0,0,1",0,!Audio\PushButton.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition7.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,
1,9,,Train-NonTarget WN,0,0,1,Stimuli\TargetPosition8.bmp,"0,0,1",500,!Audio\F-WN-rock-train.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition8.bmp,"0,0,1",0,!Audio\DontPush.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition8.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,
1,10,,Train-NonTarget,0,0,1,Stimuli\TargetPosition9.bmp,"0,0,1",500,!Audio\M-NN-star-train.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition9.bmp,"0,0,1",0,!Audio\DontPush.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition9.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,
0,11,Continue?,-,0,0,1,#continue.txt,"0,0,1",rt:any>12,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,FlyReward1,-,0,0,1,!Audio\FlyYum.wav,"0,0,0",0,_Animation\FlyReward1.gif(1024x768),"0,0,0",3000,*,,,,,,,,,,,,,,,,,,,,,,,,
0,13,,-,0,0,1,Background\Background_FlyReward1.bmp,"0,0,1",0,!Audio\FlyReward1.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",11000,*,,,,,,,,,,,,,,,,,,,,,
1,14,Set1,F-NN-Fly,2,2,1,Stimuli\TargetPosition1.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition1.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,15,,M-WN-Fly,2,2,1,Stimuli\TargetPosition2.bmp,"0,0,1",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition2.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
