Subject	    Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
sub009  run1_sub009_sent_unlearnable_co-tt_stats.nii.gz[0]	1.821318	15.525186	19.660583	12.239216
sub011  run1_sub011_sent_unlearnable_co-tt_stats.nii.gz[0]	11.574541	13.016033	12.037146	12.856563
sub012  run1_sub012_sent_unlearnable_co-tt_stats.nii.gz[0]	1.838505	8.339905	-3.656717	-0.685918
sub018  run1_sub018_sent_unlearnable_co-tt_stats.nii.gz[0]	1.878649	-3.421517	-14.738969	-9.733241
sub022  run1_sub022_sent_unlearnable_co-tt_stats.nii.gz[0]	-1.677455	-11.498350	-19.208508	-14.860943
sub030  run1_sub030_sent_unlearnable_co-tt_stats.nii.gz[0]	3.029274	8.480910	0.555423	10.914140
sub031  run1_sub031_sent_unlearnable_co-tt_stats.nii.gz[0]	9.298986	9.524710	-9.481555	-4.409670
sub032  run1_sub032_sent_unlearnable_co-tt_stats.nii.gz[0]	1.784167	1.782614	-10.406646	2.886939
sub038  run1_sub038_sent_unlearnable_co-tt_stats.nii.gz[0]	11.475007	-1.940384	1.630441	-4.532172
sub045  run1_sub045_sent_unlearnable_co-tt_stats.nii.gz[0]	-0.697833	10.945796	-0.290098	11.890979
sub047  run1_sub047_sent_unlearnable_co-tt_stats.nii.gz[0]	13.181017	24.970101	9.740268	23.817050
sub048  run1_sub048_sent_unlearnable_co-tt_stats.nii.gz[0]	-8.807700	-4.732268	7.468211	4.302933
sub049  run1_sub049_sent_unlearnable_co-tt_stats.nii.gz[0]	-3.988023	10.148706	-6.393704	11.718631
sub051  run1_sub051_sent_unlearnable_co-tt_stats.nii.gz[0]	-6.512852	-0.243299	-1.780430	-3.929476
sub059  run1_sub059_sent_unlearnable_co-tt_stats.nii.gz[0]	14.191106	0.756782	10.133224	2.575980
sub060  run1_sub060_sent_unlearnable_co-tt_stats.nii.gz[0]	24.425275	16.278379	34.535168	20.664629
Mean

sub009  run1_sub009_sent_unlearnable_co_nn.nii.gz	6.560737	21.660691	22.823711	19.456056
sub011  run1_sub011_sent_unlearnable_co_nn.nii.gz	12.027056	16.715763	12.185724	15.664214
sub012  run1_sub012_sent_unlearnable_co_nn.nii.gz	3.357140	12.253671	1.316515	6.137999
sub018  run1_sub018_sent_unlearnable_co_nn.nii.gz	9.791580	11.500968	1.684906	7.074331
sub022  run1_sub022_sent_unlearnable_co_nn.nii.gz	5.098829	5.374966	1.143466	3.645674
sub030  run1_sub030_sent_unlearnable_co_nn.nii.gz	8.646925	19.504534	8.457313	21.365279
sub031  run1_sub031_sent_unlearnable_co_nn.nii.gz	11.162123	14.004252	1.649915	7.713098
sub032  run1_sub032_sent_unlearnable_co_nn.nii.gz	7.843465	14.873500	1.476156	13.804396
sub038  run1_sub038_sent_unlearnable_co_nn.nii.gz	13.157570	6.647216	5.182687	6.053185
sub045  run1_sub045_sent_unlearnable_co_nn.nii.gz	4.163811	14.656473	5.272146	15.354752
sub047  run1_sub047_sent_unlearnable_co_nn.nii.gz	15.485788	27.211288	12.554153	25.470876
sub048  run1_sub048_sent_unlearnable_co_nn.nii.gz	2.119483	5.598091	11.816716	8.366125
sub049  run1_sub049_sent_unlearnable_co_nn.nii.gz	3.060424	14.977954	3.925046	15.364646
sub051  run1_sub051_sent_unlearnable_co_nn.nii.gz	2.317405	10.168034	2.494915	8.153643
sub059  run1_sub059_sent_unlearnable_co_nn.nii.gz	14.761703	8.629862	10.855007	8.064636
sub060  run1_sub060_sent_unlearnable_co_nn.nii.gz	27.694441	19.753626	36.793773	25.267975
Mean
