Subject	    Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
sub009  run1_sub009_sent_unlearnable_co-tt_stats.nii.gz[1]	0.076978	0.912023	0.783463	0.759079
sub011  run1_sub011_sent_unlearnable_co-tt_stats.nii.gz[1]	1.736750	1.658217	1.743033	1.934501
sub012  run1_sub012_sent_unlearnable_co-tt_stats.nii.gz[1]	0.224470	1.103505	-0.582257	-0.212345
sub018  run1_sub018_sent_unlearnable_co-tt_stats.nii.gz[1]	0.081749	-0.387613	-1.030446	-0.708585
sub022  run1_sub022_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.172770	-0.767903	-1.415909	-1.118013
sub030  run1_sub030_sent_unlearnable_co-tt_stats.nii.gz[1]	0.192012	0.492725	0.073299	0.589868
sub031  run1_sub031_sent_unlearnable_co-tt_stats.nii.gz[1]	0.436096	0.594865	-0.659988	-0.362266
sub032  run1_sub032_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.008698	-0.164776	-0.574036	0.016142
sub038  run1_sub038_sent_unlearnable_co-tt_stats.nii.gz[1]	0.694564	-0.161540	0.083148	-0.390196
sub045  run1_sub045_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.006641	0.863820	-0.003234	0.970628
sub047  run1_sub047_sent_unlearnable_co-tt_stats.nii.gz[1]	0.710035	1.430266	0.345690	1.293237
sub048  run1_sub048_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.486050	-0.414065	0.467682	0.277847
sub049  run1_sub049_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.329294	0.784017	-0.507398	0.884884
sub051  run1_sub051_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.537585	-0.109371	-0.253619	-0.200442
sub059  run1_sub059_sent_unlearnable_co-tt_stats.nii.gz[1]	1.225805	0.008765	0.928610	0.097856
sub060  run1_sub060_sent_unlearnable_co-tt_stats.nii.gz[1]	1.003194	0.782883	1.077593	1.110252
Mean

sub009  run1_sub009_sent_unlearnable_tt_nn.nii.gz	0.364309	1.269339	0.956845	1.170676
sub011  run1_sub011_sent_unlearnable_tt_nn.nii.gz	1.807658	2.086693	1.771207	2.366762
sub012  run1_sub012_sent_unlearnable_tt_nn.nii.gz	0.476232	1.625699	0.219937	0.792819
sub018  run1_sub018_sent_unlearnable_tt_nn.nii.gz	0.626270	0.578169	0.082756	0.473241
sub022  run1_sub022_sent_unlearnable_tt_nn.nii.gz	0.362628	0.382864	0.089682	0.264635
sub030  run1_sub030_sent_unlearnable_tt_nn.nii.gz	0.553156	1.186410	0.620969	1.238508
sub031  run1_sub031_sent_unlearnable_tt_nn.nii.gz	0.574669	0.943577	0.107650	0.491477
sub032  run1_sub032_sent_unlearnable_tt_nn.nii.gz	0.347638	0.458775	0.105008	0.550655
sub038  run1_sub038_sent_unlearnable_tt_nn.nii.gz	0.793181	0.399100	0.327302	0.379512
sub045  run1_sub045_sent_unlearnable_tt_nn.nii.gz	0.399979	1.124700	0.500385	1.249077
sub047  run1_sub047_sent_unlearnable_tt_nn.nii.gz	0.823194	1.553164	0.496841	1.406922
sub048  run1_sub048_sent_unlearnable_tt_nn.nii.gz	0.137596	0.318220	0.752250	0.603542
sub049  run1_sub049_sent_unlearnable_tt_nn.nii.gz	0.234564	1.171283	0.325645	1.199045
sub051  run1_sub051_sent_unlearnable_tt_nn.nii.gz	0.205082	0.663863	0.221160	0.648368
sub059  run1_sub059_sent_unlearnable_tt_nn.nii.gz	1.275017	0.623577	1.006496	0.601000
sub060  run1_sub060_sent_unlearnable_tt_nn.nii.gz	1.123353	0.971908	1.157113	1.385014
Mean
