Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run2_sub013_sent_learnable_co-tt_stats.nii.gz[0]	10.826121	-9.194943	-10.975030	-7.208453	
run2_sub016_sent_learnable_co-tt_stats.nii.gz[0]	22.450083	13.215353	18.817911	4.772500	
run2_sub019_sent_learnable_co-tt_stats.nii.gz[0]	20.074364	3.542019	10.818813	-2.872325	
run2_sub021_sent_learnable_co-tt_stats.nii.gz[0]	18.378844	24.636720	5.862047	19.252295	
run2_sub023_sent_learnable_co-tt_stats.nii.gz[0]	39.189718	43.580844	32.881190	40.177520	
run2_sub027_sent_learnable_co-tt_stats.nii.gz[0]	10.787210	16.074100	2.407919	3.657637	
run2_sub028_sent_learnable_co-tt_stats.nii.gz[0]	13.047567	14.753408	-7.637289	5.649811	
run2_sub033_sent_learnable_co-tt_stats.nii.gz[0]	10.719245	31.943583	-8.020746	12.456082	
run2_sub035_sent_learnable_co-tt_stats.nii.gz[0]	-8.229397	13.983264	6.690093	17.951779	
run2_sub039_sent_learnable_co-tt_stats.nii.gz[0]	-2.479380	8.284821	-28.620167	6.871657	
run2_sub046_sent_learnable_co-tt_stats.nii.gz[0]	-1.079407	18.890415	-6.758617	14.993088	
run2_sub050_sent_learnable_co-tt_stats.nii.gz[0]	-14.995590	0.657259	-19.196724	-4.942736	
run2_sub057_sent_learnable_co-tt_stats.nii.gz[0]	10.682630	11.067725	16.685015	14.656233	
run2_sub067_sent_learnable_co-tt_stats.nii.gz[0]	7.439873	13.365723	5.617585	4.593698	
run2_sub069_sent_learnable_co-tt_stats.nii.gz[0]	17.240857	20.566793	2.023157	3.820690	
run2_sub073_sent_learnable_co-tt_stats.nii.gz[0]	18.659908	16.414923	22.462698	11.443208	
run2_sub013_sent_learnable_co_nn.nii.gz	15.323916	11.626297	1.112404	8.409220	
run2_sub016_sent_learnable_co_nn.nii.gz	23.153710	20.200227	19.310961	12.891648	
run2_sub019_sent_learnable_co_nn.nii.gz	20.390014	9.946631	11.592640	5.604330	
run2_sub021_sent_learnable_co_nn.nii.gz	19.742221	33.304116	10.529502	32.383835	
run2_sub023_sent_learnable_co_nn.nii.gz	39.243781	44.528597	32.903066	42.495680	
run2_sub027_sent_learnable_co_nn.nii.gz	14.783507	25.029879	9.056728	18.984064	
run2_sub028_sent_learnable_co_nn.nii.gz	16.682387	20.632727	3.549900	13.844446	
run2_sub033_sent_learnable_co_nn.nii.gz	13.993838	43.694329	3.967553	30.429799	
run2_sub035_sent_learnable_co_nn.nii.gz	2.837051	22.372584	9.074904	21.467439	
run2_sub039_sent_learnable_co_nn.nii.gz	5.630592	19.777848	0.250299	18.798373	
run2_sub046_sent_learnable_co_nn.nii.gz	4.542926	23.357214	1.320641	19.772413	
run2_sub050_sent_learnable_co_nn.nii.gz	2.038691	9.391864	1.100024	7.324649	
run2_sub057_sent_learnable_co_nn.nii.gz	12.966707	20.559843	17.223784	22.524995	
run2_sub067_sent_learnable_co_nn.nii.gz	12.950062	23.464188	11.984423	12.696516	
run2_sub069_sent_learnable_co_nn.nii.gz	23.303454	26.492251	14.937223	16.612314	
run2_sub073_sent_learnable_co_nn.nii.gz	19.002093	19.952660	22.508229	16.994641	
