Subject	Left Prefontal	Left Temporal	Right Prefrontal	Right Temporal
run2_sub009_sent_unlearnable_co-tt_stats.nii.gz[1]	-1.087593	-0.386289	-0.723659	-0.252557	
run2_sub011_sent_unlearnable_co-tt_stats.nii.gz[1]	0.481129	1.493234	1.236529	2.066412	
run2_sub012_sent_unlearnable_co-tt_stats.nii.gz[1]	0.259563	0.853395	-0.035217	0.047956	
run2_sub018_sent_unlearnable_co-tt_stats.nii.gz[1]	1.912946	0.409470	0.951335	-0.120214	
run2_sub022_sent_unlearnable_co-tt_stats.nii.gz[1]	0.245963	-0.035459	-0.375182	0.133603	
run2_sub030_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.432064	0.721006	0.472603	0.785512	
run2_sub031_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.612681	0.686828	-0.893024	0.203731	
run2_sub032_sent_unlearnable_co-tt_stats.nii.gz[1]	2.614008	1.584464	1.668011	1.803549	
run2_sub038_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.888440	0.067372	-0.241810	-0.640718	
run2_sub045_sent_unlearnable_co-tt_stats.nii.gz[1]	0.605405	1.126019	0.624184	1.127379	
run2_sub047_sent_unlearnable_co-tt_stats.nii.gz[1]	0.951683	0.857844	0.907260	0.667478	
run2_sub048_sent_unlearnable_co-tt_stats.nii.gz[1]	-0.803258	-0.565277	-1.003683	-0.226412	
run2_sub049_sent_unlearnable_co-tt_stats.nii.gz[1]	0.490952	0.305205	0.337787	0.338529	
run2_sub051_sent_unlearnable_co-tt_stats.nii.gz[1]	1.644888	1.251950	1.252816	0.834342	
run2_sub059_sent_unlearnable_co-tt_stats.nii.gz[1]	0.176860	0.699117	-0.653319	0.306695	
run2_sub060_sent_unlearnable_co-tt_stats.nii.gz[1]	0.709515	1.449952	0.589822	0.983551	
run2_sub009_sent_unlearnable_tt_nn.nii.gz	0.033961	0.503670	0.068813	0.509011	
run2_sub011_sent_unlearnable_tt_nn.nii.gz	0.899591	2.043489	1.388615	2.389285	
run2_sub012_sent_unlearnable_tt_nn.nii.gz	0.547652	1.330520	0.511961	0.688483	
run2_sub018_sent_unlearnable_tt_nn.nii.gz	2.140533	1.101720	1.331843	0.711238	
run2_sub022_sent_unlearnable_tt_nn.nii.gz	0.552410	0.745652	0.274453	1.007726	
run2_sub030_sent_unlearnable_tt_nn.nii.gz	0.212877	1.316184	0.628898	1.465428	
run2_sub031_sent_unlearnable_tt_nn.nii.gz	0.127998	1.216345	0.108889	0.812627	
run2_sub032_sent_unlearnable_tt_nn.nii.gz	2.622656	1.632260	1.705534	1.846017	
run2_sub038_sent_unlearnable_tt_nn.nii.gz	0.057136	0.830998	0.295988	0.518079	
run2_sub045_sent_unlearnable_tt_nn.nii.gz	0.898725	1.327845	1.011400	1.367592	
run2_sub047_sent_unlearnable_tt_nn.nii.gz	1.065724	1.258745	1.072422	1.103444	
run2_sub048_sent_unlearnable_tt_nn.nii.gz	0.108618	0.350718	0.065645	0.427325	
run2_sub049_sent_unlearnable_tt_nn.nii.gz	0.644077	0.787153	0.590769	0.920204	
run2_sub051_sent_unlearnable_tt_nn.nii.gz	1.660179	1.375079	1.262609	0.939987	
run2_sub059_sent_unlearnable_tt_nn.nii.gz	0.474860	1.015219	0.087221	0.802745	
run2_sub060_sent_unlearnable_tt_nn.nii.gz	0.799505	1.485311	0.682922	1.118798	
